Method,M,Time,results
CIM,1,1676,116676
CIM,2,361,116676
CIM,3,370,116676
CIM,4,515,116676
CIM,5,406,116676
CIM,6,181,116676
CIM,7,319,116676
CIM,8,243,116676
CIM,9,467,116676
CIM,10,374,116676
CIM,11,307,116676
CIM,12,309,116676
CIM,13,204,116676
CIM,14,202,116588
CIM,15,182,116246
CIM,16,226,115334
CIM,17,199,114114
CIM,18,106,112184
CIM,19,170,110000
CIM,20,151,107166
CIM,21,93,104958
CIM,22,136,101428
CIM,23,121,97486
CIM,24,65,93484
CIM,25,94,89892
CIM,26,85,85262
CIM,27,77,81302
CIM,28,58,76722
CIM,29,62,72082
CIM,30,51,68450
CIM,31,44,64542
CIM,32,38,60636
CIM,33,34,57272
CIM,34,31,54492
CIM,35,27,51566
CIM,36,26,49006
CIM,37,23,46284
CIM,38,20,44144
CIM,39,20,42206
CIM,40,18,40076
CIM,41,16,38214
CIM,42,14,36670
CIM,43,13,34950
CIM,44,12,33252
CIM,45,11,31886
CIM,46,13,30828
CIM,47,11,29750
CIM,48,16,27776
CIM,49,10,27054
Force,1,157,116676
Force,2,127,116676
Force,3,94,116676
Force,4,89,116676
Force,5,96,116676
Force,6,88,116676
Force,7,87,116676
Force,8,86,116676
Force,9,127,116676
Force,10,101,116676
Force,11,91,116676
Force,12,101,116676
Force,13,98,116676
Force,14,109,116676
Force,15,113,116676
Force,16,131,116676
Force,17,97,116676
Force,18,92,116676
Force,19,106,116676
Force,20,92,116676
Force,21,97,116676
Force,22,93,116676
Force,23,97,116676
Force,24,98,116676
Force,25,97,116676
Force,26,92,116676
Force,27,92,116676
Force,28,93,116676
Force,29,92,116676
Force,30,103,116676
Force,31,91,116676
Force,32,92,116676
Force,33,97,116676
Force,34,93,116676
Force,35,105,116676
Force,36,92,116676
Force,37,92,116676
Force,38,92,116676
Force,39,92,116676
Force,40,113,116676
Force,41,92,116676
Force,42,92,116676
Force,43,94,116676
Force,44,95,116676
Force,45,103,116676
Force,46,93,116676
Force,47,90,116676
Force,48,92,116676
Force,49,92,116676
