Method,M,Time,results
CIM,1,2896,116676
CIM,2,692,116676
CIM,3,618,116676
CIM,4,896,116676
CIM,5,525,116676
CIM,6,730,116676
CIM,7,625,116676
CIM,8,652,116676
CIM,9,574,116676
CIM,10,586,116676
CIM,11,511,116676
CIM,12,527,116676
CIM,13,371,116676
CIM,14,478,116588
CIM,15,267,116246
CIM,16,439,115334
CIM,17,257,114114
CIM,18,424,112184
CIM,19,380,110000
CIM,20,193,107166
CIM,21,324,104958
CIM,22,307,101428
CIM,23,213,97486
CIM,24,274,93484
CIM,25,254,89892
CIM,26,191,85262
CIM,27,107,81302
CIM,28,156,76722
CIM,29,130,72082
CIM,30,117,68450
CIM,31,93,64542
CIM,32,80,60636
CIM,33,74,57272
CIM,34,65,54492
CIM,35,57,51566
CIM,36,48,49006
CIM,37,43,46284
CIM,38,37,44144
CIM,39,34,42206
CIM,40,30,40076
CIM,41,28,38214
CIM,42,25,36670
CIM,43,28,34950
CIM,44,24,33252
CIM,45,21,31886
CIM,46,19,30828
CIM,47,24,29750
CIM,48,16,27776
CIM,49,15,27054
Force,1,264,116676
Force,2,232,116676
Force,3,149,116676
Force,4,144,116676
Force,5,164,116676
Force,6,156,116676
Force,7,145,116676
Force,8,162,116676
Force,9,214,116676
Force,10,156,116676
Force,11,167,116676
Force,12,169,116676
Force,13,163,116676
Force,14,183,116676
Force,15,174,116676
Force,16,155,116676
Force,17,170,116676
Force,18,160,116676
Force,19,152,116676
Force,20,174,116676
Force,21,161,116676
Force,22,150,116676
Force,23,167,116676
Force,24,163,116676
Force,25,159,116676
Force,26,168,116676
Force,27,147,116676
Force,28,153,116676
Force,29,163,116676
Force,30,170,116676
Force,31,157,116676
Force,32,178,116676
Force,33,172,116676
Force,34,153,116676
Force,35,169,116676
Force,36,212,116676
Force,37,155,116676
Force,38,177,116676
Force,39,158,116676
Force,40,169,116676
Force,41,167,116676
Force,42,160,116676
Force,43,145,116676
Force,44,166,116676
Force,45,166,116676
Force,46,157,116676
Force,47,170,116676
Force,48,164,116676
Force,49,154,116676
