Method,M,Time,results
CIM,1,2058,116676
CIM,2,431,116676
CIM,3,381,116676
CIM,4,497,116676
CIM,5,441,116676
CIM,6,203,116676
CIM,7,352,116676
CIM,8,347,116676
CIM,9,178,116676
CIM,10,306,116676
CIM,11,204,116676
CIM,12,348,116676
CIM,13,255,116676
Force,1,398,117919
Force,2,441,117919
Force,3,426,117919
Force,4,331,117919
Force,5,499,117919
Force,6,321,117919
Force,7,493,117919
Force,8,283,117919
Force,9,579,117919
Force,10,211,117919
Force,11,468,117919
Force,12,220,117919
Force,13,489,117919
Force,14,257,117919
Force,15,495,117919
Force,16,473,117919
Force,17,347,117919
Force,18,460,117919
Force,19,291,117919
Force,20,459,117919
Force,21,458,117919
Force,22,263,117919
Force,23,476,117919
Force,24,356,117919
Force,25,453,117919
Force,26,464,117919
Force,27,221,117919
Force,28,463,117919
Force,29,406,117919
Force,30,501,117919
Force,31,483,117919
Force,32,218,117919
Force,33,471,117919
Force,34,447,117919
Force,35,475,117919
Force,36,474,117919
Force,37,216,117919
Force,38,453,117919
Force,39,456,117919
Force,40,459,117919
Force,41,478,117919
Force,42,239,117919
Force,43,467,117919
Force,44,450,117919
Force,45,331,117919
Force,46,507,117919
Force,47,302,117919
Force,48,454,117919
Force,49,484,117919
