N,M,L
300, 3,2
300, 3,3
300, 3,4
300, 3,5
300, 3,6
300, 3,7
300, 3,8
300, 3,9
300, 3,10
300, 3,11
300, 3,12
300, 3,13
300, 3,14
300, 3,15
300, 3,16
300, 3,17
300, 3,18
300, 3,19
300, 3,20
300, 3,21
300, 3,22
300, 3,23
300, 3,24
300, 3,25
300, 3,26
300, 3,27
300, 4,28
300, 4,29
300, 4,30
300, 4,31
300, 4,32
300, 4,33
300, 4,34
300, 5,35
300, 5,36
300, 5,37
300, 5,38
300, 5,39
300, 5,40
300, 6,41
300, 6,42
300, 6,43
300, 6,44
300, 6,45
300, 6,46
300, 6,47
300, 7,48
300, 7,49
300, 7,50
300, 7,51
300, 7,52
300, 7,53
300, 8,54
300, 8,55
300, 8,56
300, 8,57
300, 8,58
300, 8,59
300, 9,60
300, 9,61
300, 8,62
300, 9,63
300, 9,64
300, 9,65
300, 9,66
300, 10,67
300, 10,68
300, 10,69
300, 10,70
300, 11,71
300, 10,72
300, 10,73
300, 11,74
300, 11,75
300, 11,76
300, 11,77
300, 12,78
300, 11,79
300, 12,80
300, 12,81
300, 12,82
300, 13,83
300, 13,84
300, 12,85
300, 13,86
300, 13,87
300, 12,88
300, 14,89
300, 13,90
300, 13,91
300, 13,92
300, 13,93
300, 15,94
300, 13,95
300, 15,96
300, 14,97
300, 15,98
300, 14,99
300, 15,100
300, 14,101
300, 15,102
300, 15,103
300, 15,104
300, 15,105
300, 16,106
300, 15,107
300, 16,108
300, 16,109
300, 15,110
300, 17,111
300, 16,112
300, 17,113
300, 17,114
300, 17,115
300, 17,116
300, 17,117
300, 18,118
300, 18,119
300, 18,120
300, 18,121
300, 17,122
300, 18,123
300, 19,124
300, 19,125
300, 20,126
300, 20,127
300, 19,128
300, 19,129
300, 20,130
300, 20,131
300, 20,132
300, 20,133
300, 20,134
300, 20,135
300, 20,136
300, 21,137
300, 20,138
300, 21,139
300, 21,140
300, 21,141
300, 22,142
300, 22,143
300, 22,144
300, 21,145
300, 23,146
300, 23,147
300, 23,148
300, 22,149
