Method,N,Time
CIM,1,1
Force,1,0
CIM,2,0
Force,2,0
CIM,3,0
Force,3,0
CIM,4,0
Force,4,1
CIM,5,0
Force,5,0
CIM,6,0
Force,6,1
CIM,7,0
Force,7,1
CIM,8,0
Force,8,0
CIM,9,0
Force,9,1
CIM,10,0
Force,10,1
CIM,11,1
Force,11,0
CIM,12,0
Force,12,1
CIM,13,0
Force,13,0
CIM,14,0
Force,14,0
CIM,15,0
Force,15,1
CIM,16,0
Force,16,1
CIM,17,0
Force,17,1
CIM,18,0
Force,18,1
CIM,19,0
Force,19,1
CIM,20,0
Force,20,0
CIM,21,0
Force,21,1
CIM,22,0
Force,22,1
CIM,23,1
Force,23,0
CIM,24,0
Force,24,1
CIM,25,0
Force,25,1
CIM,26,0
Force,26,0
CIM,27,0
Force,27,1
CIM,28,0
Force,28,1
CIM,29,1
Force,29,0
CIM,30,0
Force,30,1
CIM,31,0
Force,31,1
CIM,32,1
Force,32,1
CIM,33,0
Force,33,1
CIM,34,0
Force,34,1
CIM,35,1
Force,35,1
CIM,36,0
Force,36,1
CIM,37,0
Force,37,1
CIM,38,0
Force,38,1
CIM,39,0
Force,39,1
CIM,40,1
Force,40,1
CIM,41,1
Force,41,2
CIM,42,1
Force,42,2
CIM,43,0
Force,43,2
CIM,44,1
Force,44,1
CIM,45,1
Force,45,1
CIM,46,0
Force,46,1
CIM,47,0
Force,47,1
CIM,48,1
Force,48,1
CIM,49,0
Force,49,1
CIM,50,0
Force,50,1
CIM,51,1
Force,51,1
CIM,52,0
Force,52,1
CIM,53,0
Force,53,1
CIM,54,0
Force,54,1
CIM,55,1
Force,55,1
CIM,56,0
Force,56,2
CIM,57,0
Force,57,2
CIM,58,0
Force,58,0
CIM,59,0
Force,59,1
CIM,60,1
Force,60,0
CIM,61,0
Force,61,1
CIM,62,0
Force,62,1
CIM,63,1
Force,63,0
CIM,64,0
Force,64,1
CIM,65,0
Force,65,0
CIM,66,0
Force,66,1
CIM,67,0
Force,67,1
CIM,68,0
Force,68,1
CIM,69,0
Force,69,1
CIM,70,0
Force,70,1
CIM,71,0
Force,71,1
CIM,72,0
Force,72,1
CIM,73,0
Force,73,1
CIM,74,0
Force,74,1
CIM,75,0
Force,75,1
CIM,76,0
Force,76,1
CIM,77,0
Force,77,0
CIM,78,1
Force,78,0
CIM,79,0
Force,79,1
CIM,80,0
Force,80,1
CIM,81,0
Force,81,1
CIM,82,0
Force,82,0
CIM,83,1
Force,83,0
CIM,84,1
Force,84,1
