Method,N,Time
CIM,1,0
Force,1,0
CIM,2,0
Force,2,0
CIM,3,0
Force,3,0
CIM,4,0
Force,4,0
CIM,5,0
Force,5,0
CIM,6,0
Force,6,0
CIM,7,2
Force,7,0
CIM,8,0
Force,8,0
CIM,9,0
Force,9,0
CIM,10,0
Force,10,0
CIM,11,0
Force,11,0
CIM,12,1
Force,12,0
CIM,13,0
Force,13,1
CIM,14,0
Force,14,0
CIM,15,0
Force,15,1
CIM,16,0
Force,16,0
CIM,17,0
Force,17,0
CIM,18,0
Force,18,1
CIM,19,0
Force,19,0
CIM,20,0
Force,20,0
CIM,21,0
Force,21,0
CIM,22,0
Force,22,0
CIM,23,0
Force,23,1
CIM,24,0
Force,24,1
CIM,25,0
Force,25,1
CIM,26,0
Force,26,1
CIM,27,0
Force,27,1
CIM,28,0
Force,28,1
CIM,29,0
Force,29,1
CIM,30,0
Force,30,1
CIM,31,0
Force,31,1
CIM,32,0
Force,32,1
CIM,33,0
Force,33,0
CIM,34,0
Force,34,1
CIM,35,0
Force,35,1
CIM,36,0
Force,36,0
CIM,37,0
Force,37,0
CIM,38,0
Force,38,0
CIM,39,1
Force,39,0
CIM,40,0
Force,40,1
CIM,41,0
Force,41,1
CIM,42,0
Force,42,1
CIM,43,0
Force,43,1
CIM,44,0
Force,44,1
CIM,45,0
Force,45,1
CIM,46,0
Force,46,1
CIM,47,1
Force,47,1
CIM,48,0
Force,48,1
CIM,49,0
Force,49,0
CIM,50,0
Force,50,1
CIM,51,1
Force,51,1
CIM,52,0
Force,52,1
CIM,53,1
Force,53,1
CIM,54,0
Force,54,1
CIM,55,0
Force,55,1
CIM,56,0
Force,56,1
CIM,57,0
Force,57,0
CIM,58,0
Force,58,1
CIM,59,1
Force,59,1
CIM,60,1
Force,60,1
CIM,61,1
Force,61,1
CIM,62,0
Force,62,2
CIM,63,0
Force,63,1
CIM,64,0
Force,64,1
CIM,65,1
Force,65,1
CIM,66,0
Force,66,1
CIM,67,0
Force,67,1
CIM,68,0
Force,68,1
CIM,69,0
Force,69,1
CIM,70,0
Force,70,1
CIM,71,0
Force,71,1
CIM,72,0
Force,72,2
CIM,73,0
Force,73,1
CIM,74,0
Force,74,1
CIM,75,1
Force,75,0
CIM,76,1
Force,76,0
CIM,77,1
Force,77,0
CIM,78,1
Force,78,1
CIM,79,0
Force,79,1
CIM,80,0
Force,80,1
CIM,81,1
Force,81,0
CIM,82,0
Force,82,1
CIM,83,1
Force,83,0
CIM,84,0
Force,84,1
CIM,85,1
Force,85,1
CIM,86,0
Force,86,1
CIM,87,1
Force,87,1
CIM,88,0
Force,88,1
CIM,89,1
Force,89,0
CIM,90,0
Force,90,1
CIM,91,0
Force,91,1
CIM,92,0
Force,92,0
CIM,93,0
Force,93,0
CIM,94,0
Force,94,0
CIM,95,0
Force,95,0
CIM,96,0
Force,96,0
CIM,97,1
Force,97,0
CIM,98,0
Force,98,1
CIM,99,0
Force,99,1
CIM,100,1
Force,100,0
CIM,101,0
Force,101,1
CIM,102,1
Force,102,1
CIM,103,1
Force,103,1
CIM,104,0
Force,104,1
CIM,105,0
Force,105,0
CIM,106,0
Force,106,1
CIM,107,0
Force,107,1
CIM,108,0
Force,108,2
CIM,109,0
Force,109,2
CIM,110,0
Force,110,1
CIM,111,1
Force,111,1
CIM,112,1
Force,112,1
CIM,113,0
Force,113,1
CIM,114,1
Force,114,1
CIM,115,0
Force,115,1
CIM,116,0
Force,116,1
CIM,117,0
Force,117,1
CIM,118,0
Force,118,1
CIM,119,0
Force,119,1
CIM,120,0
Force,120,1
CIM,121,0
Force,121,1
CIM,122,0
Force,122,1
CIM,123,0
Force,123,1
CIM,124,1
Force,124,1
CIM,125,0
Force,125,1
CIM,126,1
Force,126,1
CIM,127,0
Force,127,1
CIM,128,1
Force,128,1
CIM,129,1
Force,129,2
CIM,130,1
Force,130,1
CIM,131,0
Force,131,2
CIM,132,0
Force,132,2
CIM,133,1
Force,133,2
CIM,134,0
Force,134,2
CIM,135,0
Force,135,1
CIM,136,1
Force,136,1
CIM,137,0
Force,137,2
CIM,138,1
Force,138,1
CIM,139,0
Force,139,1
CIM,140,1
Force,140,1
CIM,141,1
Force,141,1
CIM,142,0
Force,142,1
CIM,143,0
Force,143,1
CIM,144,0
Force,144,1
CIM,145,1
Force,145,1
CIM,146,0
Force,146,2
CIM,147,0
Force,147,2
CIM,148,0
Force,148,2
CIM,149,0
Force,149,2
CIM,150,0
Force,150,2
CIM,151,0
Force,151,2
CIM,152,0
Force,152,1
CIM,153,0
Force,153,2
CIM,154,0
Force,154,2
CIM,155,1
Force,155,2
CIM,156,0
Force,156,3
CIM,157,1
Force,157,2
CIM,158,0
Force,158,2
CIM,159,0
Force,159,2
CIM,160,1
Force,160,2
CIM,161,1
Force,161,3
CIM,162,1
Force,162,3
CIM,163,1
Force,163,3
CIM,164,1
Force,164,3
CIM,165,1
Force,165,3
CIM,166,1
Force,166,3
CIM,167,1
Force,167,3
CIM,168,1
Force,168,3
CIM,169,1
Force,169,3
CIM,170,1
Force,170,3
CIM,171,1
Force,171,3
CIM,172,1
Force,172,2
CIM,173,1
Force,173,1
CIM,174,0
Force,174,2
CIM,175,0
Force,175,1
CIM,176,1
Force,176,2
CIM,177,1
Force,177,1
CIM,178,0
Force,178,2
CIM,179,1
Force,179,1
CIM,180,0
Force,180,2
CIM,181,1
Force,181,2
CIM,182,0
Force,182,2
CIM,183,0
Force,183,4
CIM,184,1
Force,184,3
CIM,185,1
Force,185,4
CIM,186,1
Force,186,3
CIM,187,1
Force,187,2
CIM,188,0
Force,188,2
CIM,189,1
Force,189,2
CIM,190,1
Force,190,2
CIM,191,1
Force,191,1
CIM,192,0
Force,192,2
CIM,193,1
Force,193,2
CIM,194,0
Force,194,3
CIM,195,1
Force,195,3
CIM,196,1
Force,196,4
CIM,197,1
Force,197,4
CIM,198,1
Force,198,4
CIM,199,1
Force,199,4
CIM,200,1
Force,200,4
CIM,201,1
Force,201,4
CIM,202,1
Force,202,3
CIM,203,1
Force,203,3
CIM,204,1
Force,204,3
CIM,205,1
Force,205,4
CIM,206,8
Force,206,4
CIM,207,1
Force,207,3
CIM,208,1
Force,208,3
CIM,209,1
Force,209,4
CIM,210,1
Force,210,2
CIM,211,0
Force,211,3
CIM,212,1
Force,212,2
CIM,213,1
Force,213,3
CIM,214,1
Force,214,3
CIM,215,2
Force,215,3
CIM,216,1
Force,216,4
CIM,217,1
Force,217,4
CIM,218,1
Force,218,3
CIM,219,1
Force,219,3
CIM,220,1
Force,220,3
CIM,221,1
Force,221,3
CIM,222,1
Force,222,3
CIM,223,1
Force,223,3
CIM,224,1
Force,224,4
CIM,225,1
Force,225,4
CIM,226,1
Force,226,3
CIM,227,1
Force,227,3
CIM,228,1
Force,228,4
CIM,229,1
Force,229,3
CIM,230,1
Force,230,3
CIM,231,1
Force,231,2
CIM,232,1
Force,232,2
CIM,233,1
Force,233,2
CIM,234,1
Force,234,2
CIM,235,2
Force,235,2
CIM,236,2
Force,236,2
CIM,237,2
Force,237,2
CIM,238,2
Force,238,2
CIM,239,1
Force,239,2
CIM,240,1
Force,240,2
CIM,241,1
Force,241,1
CIM,242,1
Force,242,1
CIM,243,1
Force,243,2
CIM,244,1
Force,244,2
CIM,245,1
Force,245,2
CIM,246,1
Force,246,2
CIM,247,1
Force,247,2
CIM,248,1
Force,248,2
CIM,249,1
Force,249,3
CIM,250,1
Force,250,2
CIM,251,1
Force,251,3
CIM,252,1
Force,252,2
CIM,253,2
Force,253,2
CIM,254,1
Force,254,2
CIM,255,1
Force,255,2
CIM,256,1
Force,256,3
CIM,257,2
Force,257,3
CIM,258,2
Force,258,3
CIM,259,2
Force,259,3
CIM,260,2
Force,260,3
CIM,261,2
Force,261,3
CIM,262,2
Force,262,2
CIM,263,1
Force,263,3
CIM,264,1
Force,264,2
CIM,265,2
Force,265,2
CIM,266,1
Force,266,2
CIM,267,2
Force,267,2
CIM,268,2
Force,268,2
CIM,269,1
Force,269,3
CIM,270,2
Force,270,3
CIM,271,1
Force,271,3
CIM,272,2
Force,272,2
CIM,273,2
Force,273,3
CIM,274,1
Force,274,3
CIM,275,1
Force,275,3
CIM,276,2
Force,276,2
CIM,277,1
Force,277,3
CIM,278,1
Force,278,3
CIM,279,1
Force,279,2
CIM,280,1
Force,280,4
CIM,281,2
Force,281,2
CIM,282,1
Force,282,2
CIM,283,1
Force,283,2
CIM,284,2
Force,284,2
CIM,285,1
Force,285,3
CIM,286,1
Force,286,3
CIM,287,1
Force,287,3
CIM,288,2
Force,288,3
CIM,289,2
Force,289,3
CIM,290,2
Force,290,3
CIM,291,2
Force,291,3
CIM,292,2
Force,292,2
CIM,293,2
Force,293,2
CIM,294,1
Force,294,3
CIM,295,2
Force,295,5
CIM,296,2
Force,296,2
CIM,297,1
Force,297,3
CIM,298,3
Force,298,4
CIM,299,2
Force,299,4
CIM,300,2
Force,300,5
CIM,301,3
Force,301,4
CIM,302,2
Force,302,5
CIM,303,2
Force,303,5
CIM,304,3
Force,304,5
CIM,305,2
Force,305,5
CIM,306,3
Force,306,4
CIM,307,2
Force,307,5
CIM,308,3
Force,308,5
CIM,309,2
Force,309,4
CIM,310,3
Force,310,4
CIM,311,2
Force,311,4
CIM,312,4
Force,312,4
CIM,313,2
Force,313,3
CIM,314,2
Force,314,3
CIM,315,2
Force,315,4
CIM,316,2
Force,316,3
CIM,317,1
Force,317,3
CIM,318,2
Force,318,4
CIM,319,2
Force,319,4
CIM,320,3
Force,320,3
CIM,321,1
Force,321,3
CIM,322,2
Force,322,3
CIM,323,1
Force,323,2
CIM,324,1
Force,324,3
CIM,325,2
Force,325,3
CIM,326,2
Force,326,4
CIM,327,3
Force,327,3
CIM,328,2
Force,328,4
CIM,329,2
Force,329,4
CIM,330,3
Force,330,5
CIM,331,3
Force,331,4
CIM,332,2
Force,332,4
CIM,333,3
Force,333,5
CIM,334,3
Force,334,5
CIM,335,2
Force,335,4
CIM,336,4
Force,336,3
CIM,337,1
Force,337,3
CIM,338,2
Force,338,2
CIM,339,2
Force,339,3
CIM,340,2
Force,340,3
CIM,341,2
Force,341,3
CIM,342,2
Force,342,4
CIM,343,3
Force,343,4
CIM,344,1
Force,344,5
CIM,345,10
Force,345,5
CIM,346,3
Force,346,6
CIM,347,3
Force,347,5
CIM,348,2
Force,348,5
CIM,349,4
Force,349,3
CIM,350,2
Force,350,3
CIM,351,2
Force,351,3
CIM,352,2
Force,352,4
CIM,353,2
Force,353,4
CIM,354,2
Force,354,3
CIM,355,2
Force,355,3
CIM,356,1
Force,356,3
CIM,357,2
Force,357,4
CIM,358,2
Force,358,4
CIM,359,2
Force,359,4
CIM,360,2
Force,360,3
CIM,361,1
Force,361,4
CIM,362,2
Force,362,4
CIM,363,2
Force,363,3
CIM,364,1
Force,364,3
CIM,365,1
Force,365,3
CIM,366,1
Force,366,3
CIM,367,1
Force,367,2
CIM,368,1
Force,368,4
CIM,369,2
Force,369,4
CIM,370,1
Force,370,4
CIM,371,1
Force,371,4
CIM,372,2
Force,372,4
CIM,373,2
Force,373,4
CIM,374,2
Force,374,4
CIM,375,2
Force,375,4
CIM,376,2
Force,376,4
CIM,377,2
Force,377,4
CIM,378,2
Force,378,4
CIM,379,2
Force,379,4
CIM,380,2
Force,380,5
CIM,381,2
Force,381,4
CIM,382,2
Force,382,5
CIM,383,2
Force,383,4
CIM,384,2
Force,384,4
CIM,385,2
Force,385,4
CIM,386,2
Force,386,4
CIM,387,1
Force,387,4
CIM,388,1
Force,388,4
CIM,389,2
Force,389,4
CIM,390,2
Force,390,3
CIM,391,2
Force,391,3
CIM,392,2
Force,392,4
CIM,393,1
Force,393,4
CIM,394,1
Force,394,3
CIM,395,1
Force,395,4
CIM,396,2
Force,396,3
CIM,397,2
Force,397,3
CIM,398,2
Force,398,4
CIM,399,2
Force,399,4
CIM,400,1
Force,400,3
CIM,401,2
Force,401,3
CIM,402,1
Force,402,4
CIM,403,1
Force,403,3
CIM,404,2
Force,404,3
CIM,405,1
Force,405,4
CIM,406,2
Force,406,3
CIM,407,1
Force,407,4
CIM,408,1
Force,408,4
CIM,409,1
Force,409,4
CIM,410,2
Force,410,3
CIM,411,2
Force,411,3
CIM,412,2
Force,412,4
CIM,413,1
Force,413,4
CIM,414,2
Force,414,4
CIM,415,2
Force,415,3
CIM,416,2
Force,416,4
CIM,417,2
Force,417,3
CIM,418,1
Force,418,3
CIM,419,1
Force,419,4
CIM,420,3
Force,420,5
CIM,421,3
Force,421,5
CIM,422,3
Force,422,4
CIM,423,2
Force,423,4
CIM,424,2
Force,424,3
CIM,425,2
Force,425,4
CIM,426,2
Force,426,4
CIM,427,2
Force,427,3
CIM,428,2
Force,428,4
CIM,429,2
Force,429,4
CIM,430,2
Force,430,4
CIM,431,2
Force,431,5
CIM,432,2
Force,432,6
CIM,433,5
Force,433,6
CIM,434,11
Force,434,4
CIM,435,1
Force,435,4
CIM,436,1
Force,436,3
CIM,437,1
Force,437,3
CIM,438,1
Force,438,3
CIM,439,2
Force,439,4
CIM,440,2
Force,440,4
CIM,441,2
Force,441,4
CIM,442,2
Force,442,5
CIM,443,2
Force,443,4
CIM,444,2
Force,444,4
CIM,445,1
Force,445,3
CIM,446,1
Force,446,4
CIM,447,1
Force,447,3
CIM,448,2
Force,448,3
CIM,449,2
Force,449,3
CIM,450,1
Force,450,4
CIM,451,1
Force,451,3
CIM,452,1
Force,452,3
CIM,453,1
Force,453,2
CIM,454,1
Force,454,2
CIM,455,1
Force,455,2
CIM,456,1
Force,456,2
CIM,457,1
Force,457,2
CIM,458,1
Force,458,2
CIM,459,1
Force,459,3
CIM,460,1
Force,460,2
CIM,461,1
Force,461,3
CIM,462,1
Force,462,2
CIM,463,1
Force,463,3
CIM,464,1
Force,464,2
CIM,465,1
Force,465,3
CIM,466,1
Force,466,2
CIM,467,1
Force,467,2
CIM,468,1
Force,468,3
CIM,469,1
Force,469,2
CIM,470,1
Force,470,2
CIM,471,1
Force,471,3
CIM,472,1
Force,472,3
CIM,473,1
Force,473,2
CIM,474,1
Force,474,3
CIM,475,1
Force,475,3
CIM,476,1
