Method,M,Time,results
CIM,1,261,13708
Force,1,52,13708
CIM,2,80,13708
Force,2,42,13708
CIM,3,48,13708
Force,3,115,13708
CIM,4,152,13708
Force,4,33,13708
CIM,5,49,13708
Force,5,14,13708
CIM,6,37,13708
Force,6,9,13708
CIM,7,31,13708
Force,7,8,13708
CIM,8,37,13708
Force,8,9,13708
CIM,9,35,13708
Force,9,9,13708
CIM,10,48,13708
Force,10,12,13708
CIM,11,38,13708
Force,11,10,13708
CIM,12,36,13708
Force,12,15,13708
CIM,13,30,13708
Force,13,17,13708
CIM,14,40,13708
Force,14,16,13708
CIM,15,31,13708
Force,15,16,13708
CIM,16,41,13708
Force,16,17,13708
CIM,17,32,13706
Force,17,19,13708
CIM,18,42,13668
Force,18,22,13708
CIM,19,42,13628
Force,19,20,13708
CIM,20,45,13530
Force,20,22,13708
CIM,21,29,13478
Force,21,19,13708
CIM,22,29,13336
Force,22,19,13708
CIM,23,27,13206
Force,23,15,13708
CIM,24,23,12858
Force,24,15,13708
CIM,25,22,12906
Force,25,9,13708
CIM,26,15,12680
Force,26,9,13708
CIM,27,14,12290
Force,27,9,13708
CIM,28,12,12132
Force,28,9,13708
CIM,29,12,11866
Force,29,8,13708
CIM,30,22,11392
Force,30,12,13708
CIM,31,13,11166
Force,31,8,13708
CIM,32,9,10720
Force,32,7,13708
CIM,33,12,10128
Force,33,7,13708
CIM,34,7,10278
Force,34,6,13708
CIM,35,7,9826
Force,35,6,13708
CIM,36,5,9274
Force,36,5,13708
CIM,37,4,9036
Force,37,5,13708
CIM,38,4,8936
Force,38,5,13708
CIM,39,4,8550
Force,39,5,13708
