Method,M,Time,results
CIM,1,74,2536
CIM,2,8,2536
CIM,3,8,2536
CIM,4,8,2536
CIM,5,7,2536
CIM,6,5,2536
CIM,7,5,2536
CIM,8,3,2536
CIM,9,4,2536
CIM,10,2,2536
CIM,11,2,2536
CIM,12,2,2536
CIM,13,2,2536
CIM,14,2,2536
CIM,15,2,2532
CIM,16,2,2504
CIM,17,1,2486
CIM,18,1,2442
CIM,19,2,2378
CIM,20,2,2318
CIM,21,2,2294
CIM,22,1,2272
CIM,23,1,2112
CIM,24,1,2068
CIM,25,1,1918
CIM,26,1,1912
CIM,27,1,1778
CIM,28,1,1654
CIM,29,1,1598
CIM,30,1,1482
CIM,31,1,1372
CIM,32,1,1294
CIM,33,1,1228
CIM,34,1,1158
CIM,35,0,1104
CIM,36,0,1040
CIM,37,1,990
CIM,38,0,938
CIM,39,0,896
CIM,40,0,864
CIM,41,0,780
CIM,42,1,754
CIM,43,0,746
CIM,44,0,690
CIM,45,0,672
CIM,46,1,672
CIM,47,0,622
CIM,48,0,558
CIM,49,0,586
Force,1,17,2536
Force,2,21,2536
Force,3,8,2536
Force,4,4,2536
Force,5,3,2536
Force,6,4,2536
Force,7,5,2536
Force,8,4,2536
Force,9,4,2536
Force,10,4,2536
Force,11,4,2536
Force,12,5,2536
Force,13,4,2536
Force,14,4,2536
Force,15,4,2536
Force,16,4,2536
Force,17,3,2536
Force,18,3,2536
Force,19,11,2536
Force,20,3,2536
Force,21,4,2536
Force,22,3,2536
Force,23,5,2536
Force,24,4,2536
Force,25,3,2536
Force,26,4,2536
Force,27,5,2536
Force,28,6,2536
Force,29,8,2536
Force,30,4,2536
Force,31,6,2536
Force,32,4,2536
Force,33,5,2536
Force,34,4,2536
Force,35,5,2536
Force,36,7,2536
Force,37,6,2536
Force,38,3,2536
Force,39,5,2536
Force,40,4,2536
Force,41,4,2536
Force,42,5,2536
Force,43,4,2536
Force,44,3,2536
Force,45,3,2536
Force,46,3,2536
Force,47,2,2536
Force,48,3,2536
Force,49,3,2536
