N,M,L
300, 3,1
300, 3,2
300, 3,3
300, 3,4
300, 3,5
300, 4,6
300, 4,7
300, 5,8
300, 6,9
300, 7,10
300, 7,11
300, 8,12
300, 8,13
300, 9,14
300, 10,15
300, 10,16
300, 12,17
300, 12,18
300, 13,19
300, 13,20
300, 15,21
300, 14,22
300, 16,23
300, 17,24
300, 17,25
300, 18,26
300, 18,27
300, 19,28
300, 21,29
300, 22,30
300, 21,31
300, 23,32
300, 23,33
300, 23,34
300, 24,35
300, 26,36
300, 26,37
300, 26,38
300, 28,39
300, 29,40
300, 28,41
300, 31,42
300, 30,43
300, 33,44
300, 33,45
300, 34,46
300, 36,47
300, 37,48
300, 35,49
300, 35,50
300, 39,51
300, 39,52
300, 40,53
300, 39,54
300, 38,55
300, 40,56
300, 43,57
300, 45,58
300, 44,59
300, 45,60
300, 43,61
300, 45,62
300, 48,63
300, 44,64
300, 49,65
300, 48,66
300, 50,67
300, 54,68
300, 53,69
300, 51,70
300, 53,71
300, 52,72
300, 58,73
300, 55,74
300, 57,75
300, 53,76
300, 56,77
300, 56,78
300, 59,79
300, 59,80
300, 63,81
300, 63,82
300, 67,83
300, 67,84
300, 58,85
300, 65,86
300, 63,87
300, 69,88
300, 62,89
300, 65,90
300, 72,91
300, 69,92
300, 71,93
300, 68,94
300, 78,95
300, 73,96
300, 76,97
300, 73,98
300, 78,99
300, 71,100
300, 72,101
300, 73,102
300, 78,103
300, 82,104
300, 78,105
300, 87,106
300, 80,107
300, 85,108
300, 82,109
300, 80,110
300, 84,111
300, 83,112
300, 88,113
300, 86,114
300, 89,115
300, 91,116
300, 95,117
300, 96,118
300, 91,119
300, 92,120
300, 98,121
300, 96,122
300, 98,123
300, 89,124
300, 96,125
300, 99,126
300, 100,127
300, 104,128
300, 97,129
300, 96,130
300, 109,131
300, 106,132
300, 100,133
300, 103,134
300, 107,135
300, 102,136
300, 101,137
300, 105,138
300, 107,139
300, 105,140
300, 105,141
300, 103,142
300, 111,143
300, 104,144
300, 106,145
300, 110,146
300, 113,147
300, 119,148
300, 104,149
